image_id,dish,day,label,soma_area_mean,circularity_mean,neurite_length,branch_count,neurite_density
d1_t14_ph915,1,14,14.0,493.5,0.39785424092308697,303,7,0.10233029381965553
d1_t14_ph916,1,14,14.0,402.42857142857144,0.4289533230154981,360,29,0.12779552715654952
d1_t14_ph918,1,14,14.0,454.0,0.3088036729973713,481,4,0.1324339207048458
d1_t14_ph919,1,14,14.0,572.4,0.40863963715638774,281,21,0.09818308874912648
d1_t14_ph920,1,14,14.0,723.2,0.3112859037189611,463,54,0.1280420353982301
d1_t16_ph1016,1,16,16.0,629.5,0.43210216247906885,382,27,0.10113846968493513
d1_t16_ph1017,1,16,16.0,467.6666666666667,0.34796010450358233,388,39,0.1382751247327156
d1_t16_ph1018,1,16,16.0,728.5,0.26029105595255764,434,35,0.14893617021276595
d1_t16_ph1019,1,16,16.0,761.25,0.27994441988839114,417,30,0.13694581280788176
d1_t16_ph1020,1,16,16.0,659.6,0.5185175905462109,341,27,0.10339599757428744
d1_t16_ph1021,1,16,16.0,566.2,0.3546015196788525,345,17,0.1218650653479336
d1_t16_ph1022,1,16,16.0,379.875,0.48261765788207783,375,16,0.12339585389930899
d1_t16_ph1023,1,16,16.0,962.3333333333334,0.2533829828831553,349,38,0.12088673363352961
d1_t16_ph1024,1,16,16.0,479.14285714285717,0.4773161315330444,375,28,0.11180679785330948
d1_t16_ph1025,1,16,16.0,516.0,0.28112105892782224,456,34,0.14728682170542637
d1_t16_ph1026,1,16,16.0,624.6,0.3125285783399739,358,19,0.11463336535382646
d1_t16_ph1027,1,16,16.0,428.85714285714283,0.3380740258578624,400,20,0.13324450366422386
d1_t16_ph1028,1,16,16.0,1654.0,0.3107980219925591,363,30,0.10973397823458284
d1_t16_ph1029,1,16,16.0,1620.5,0.3994767202420677,249,20,0.07682813946312866
d1_t16_ph1030,1,16,16.0,2191.0,0.1068267132879679,440,29,0.10041077133728891
d1_t16_ph1031,1,16,16.0,496.1666666666667,0.37945466636229214,418,42,0.14040980853207927
d1_t16_ph1032,1,16,16.0,734.75,0.3362717013821757,382,36,0.12997618237495748
d1_t16_ph1033,1,16,16.0,686.6,0.3410462980046824,449,25,0.13078939702883774
d1_t16_ph1034,1,16,16.0,855.2,0.4787546848860317,486,29,0.1136576239476146
d1_t16_ph1035,1,16,16.0,798.6,0.43155142066639673,523,33,0.1309792136238417
d1_t16_ph1036,1,16,16.0,550.5,0.28919744191787705,464,28,0.14047835301241296
d1_t16_ph1037,1,16,16.0,605.0,0.26267332068580035,488,36,0.13443526170798897
d1_t16_ph1038,1,16,16.0,391.375,0.33845878666191564,451,30,0.1440434366017247
d1_t16_ph1039,1,16,16.0,634.2,0.2718628645404163,427,29,0.1346578366445916
d1_t16_ph1040,1,16,16.0,293.6666666666667,0.3491029413343148,410,17,0.1551267499054105
d1_t16_ph1041,1,16,16.0,385.125,0.2889669983893295,445,19,0.1444336254462837
d1_t16_ph1042,1,16,16.0,246.0,0.35173741065527314,400,7,0.16260162601626016
d1_t16_ph1043,1,16,16.0,408.75,0.3553331092537814,418,25,0.12782874617737003
